ลำดับ	ชนิดข้อความ	ตำแหน่งในไฟล์	เลขข้อจาก TOR	ข้อความ TOR ต้นฉบับ	หมวด/Module	Frappe/ERPNext Coverage	สิ่งที่มีใน Standard	สิ่งที่ต้องทำเพิ่ม / Customization	Gap/Risk	Priority	Effort	หลักฐาน/Reference	หมายเหตุจาก Fit-Gap	ช่องให้เติมเอง
14	Paragraph	18	3.4	๓.๔ ไม่เป็นบุคคลซึ่งอยู่ระหว่างถูกระงับการยื่นข้อเสนอหรือทำสัญญากับหน่วยงานของรัฐไว้ชั่วคราวเนื่องจากเป็นผู้ที่ไม่ผ่านเกณฑ์การประเมินผลการปฏิบัติงานของผู้ประกอบการตามระเบียบที่รัฐมนตรีว่าการกระทรวงการคลังกำหนดตามที่ประกาศเผยแพร่ในระบบเครือข่ายสารสนเทศของกรมบัญชีกลาง										
15	Paragraph	19	3.5	๓.๕ ไม่เป็นบุคคลซึ่งถูกระบุชื่อไว้ในบัญชีรายชื่อผู้ทิ้งงานและได้แจ้งเวียนชื่อให้เป็นผู้ทิ้งงานของหน่วยงานของรัฐในระบบเครือข่ายสารสนเทศของกรมบัญชีกลาง ซึ่งรวมถึงนิติบุคคลที่ผู้ทิ้งงานเป็นหุ้นส่วนผู้จัดการ กรรมการ ผู้จัดการ ผู้บริหาร ผู้มีอำนาจในการดำเนินงานในกิจการของนิติบุคคลนั้นด้วย										
16	Paragraph	20	3.6	๓.๖ มีคุณสมบัติและไม่มีลักษณะต้องห้ามตามที่คณะกรรมการนโยบายการจัดซื้อจัดจ้าง และการบริหารพัสดุภาครัฐกำหนดในราชกิจจานุเบกษา										
17	Paragraph	21	3.7	๓.๗ เป็นบุคคลธรรมดาหรือนิติบุคคล ผู้มีอาชีพขายพัสดุดังกล่าว										
18	Paragraph	22	3.8	๓.๘ ไม่เป็นผู้มีผลประโยชน์ร่วมกันกับผู้ยื่นข้อเสนอรายอื่นที่เข้ายื่นข้อเสนอให้แก่ สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ ณ วันยื่นข้อเสนอ หรือไม่เป็นผู้กระทำการ อันเป็นการขัดขวางการแข่งขันอย่างเป็นธรรมในการยื่นข้อเสนอครั้งนี้										
19	Paragraph	23	3.9	๓.๙ ไม่เป็นผู้ได้รับเอกสิทธิ์หรือความคุ้มกัน ซึ่งอาจปฏิเสธไม่ยอมขึ้นศาลไทย เว้นแต่รัฐบาลของผู้ยื่นข้อเสนอได้มีคำสั่งให้สละเอกสิทธิ์และความคุ้มกันเช่นว่านั้น										
20	Paragraph	24	3.10	”3.10 ผู้ยื่นข้อเสนอที่ยื่นข้อเสนอในรูปแบบของ ””กิจการร่วมค้า”” ต้องมีคุณสมบัติดังนี้”										
21	Paragraph	25		กรณีที่ข้อตกลงระหว่างผู้เข้าร่วมค้ากำหนดให้ผู้เข้าร่วมค้ารายใดรายหนึ่งเป็นผู้เข้าร่วมค้าหลัก ข้อตกลงระหว่างผู้เข้าร่วมค้าจะต้องมีการกำหนดสัดส่วนหน้าที่ และความรับผิดชอบในปริมาณงาน สิ่งของ หรือมูลค่าตามสัญญาของผู้เข้าร่วมค้าหลักมากกว่าผู้เข้าร่วมค้ารายอื่นทุกราย										
22	Paragraph	26		กรณีที่ข้อตกลงระหว่างผู้เข้าร่วมค้ากำหนดให้ผู้เข้าร่วมค้ารายใดรายหนึ่งเป็นผู้เข้าร่วมค้าหลัก กิจการร่วมค้านั้นต้องใช้ผลงานของผู้เข้าร่วมค้าหลักรายเดียวเป็นผลงานของกิจการร่วมค้าที่ยื่นข้อเสนอ										
23	Paragraph	27		สำหรับข้อตกลงระหว่างผู้เข้าร่วมค้าที่ไม่ได้กำหนดให้ผู้เข้าร่วมค้ารายใดเป็นผู้เข้าร่วมค้าหลัก ผู้เข้าร่วมค้าทุกรายจะต้องมีคุณสมบัติครบถ้วนตามเงื่อนไขที่กำหนดไว้ในเอกสารเชิญชวน หรือหนังสือเชิญชวน										
24	Paragraph	28		กรณีที่ข้อตกลงระหว่างผู้เข้าร่วมค้ากำหนดให้มีการมอบหมายผู้เข้าร่วมค้ารายใดรายหนึ่งเป็นผู้ยื่นข้อเสนอ ในนามกิจการร่วมค้า การยื่นข้อเสนอดังกล่าวไม่ต้องมีหนังสือมอบอำนาจ										
25	Paragraph	29		สำหรับข้อตกลงระหว่างผู้เข้าร่วมค้าที่ไม่ได้กำหนดให้ผู้เข้าร่วมค้ารายใดเป็นผู้ยื่นข้อเสนอ ผู้เข้าร่วมค้าทุกรายจะต้องลงลายมือชื่อในหนังสือมอบอำนาจให้ผู้เข้าร่วมค้ารายใดรายหนึ่งเป็นผู้ยื่นข้อเสนอในนามกิจการร่วมค้า										
26	Paragraph	30	3.11	3.11 ผู้ยื่นข้อเสนอต้องลงทะเบียนที่มีข้อมูลถูกต้องครบถ้วนในระบบจัดซื้อจัดจ้างภาครัฐด้วยอิเล็กทรอนิกส์ (Electronic Government Procurement: e-GP) ของกรมบัญชีกลาง										
27	Paragraph	31	3.12	3.12 สินค้าหรือบริการที่นำเสนอจะต้องได้รับการรับรองมาตรฐานด้านดิจิทัลตามที่สำนักงานส่งเสริมเศรษฐกิจดิจิทัลกำหนด										
28	Paragraph	32	3.13	3.13 สินค้าหรือบริการที่นำเสนอจะต้องขึ้นบัญชีบริการดิจิทัลของสำนักงานส่งเสริมเศรษฐกิจดิจิทัล เป็นพัสดุที่รัฐต้องส่งเสริมหรือสนับสนุน										
29	Paragraph	35	3.14	3.14 ผู้ยื่นข้อเสนอต้องมีมูลค่าสุทธิของกิจการ ดังนี้										
30	Paragraph	36	3.14(1)	(๑) กรณีผู้ยื่นข้อเสนอเป็นนิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทยซึ่งได้จดทะเบียนเกินกว่า ๑ ปี ต้องมีมูลค่าสุทธิของกิจการ จากผลต่างระหว่างสินทรัพย์สุทธิหักด้วยหนี้สินสุทธิ ที่ปรากฏในงบแสดงฐานะการเงินที่มีการตรวจรับรองแล้ว ซึ่งจะต้องแสดงค่าเป็นบวก ๑ ปีสุดท้ายก่อนวันยื่นข้อเสนอ										
31	Paragraph	37	3.14(2)	(๒) กรณีผู้ยื่นข้อเสนอเป็นนิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทย ซึ่งยังไม่มีการรายงานงบแสดงฐานะการเงินกับกรมพัฒนาธุรกิจการค้า ให้พิจารณาการกำหนดมูลค่าของทุนจดทะเบียน โดยผู้ยื่นข้อเสนอจะต้องมีทุนจดทะเบียนที่เรียกชำระมูลค่าหุ้นแล้ว ณ วันที่ยื่นข้อเสนอ ไม่ต่ำกว่า ๑ ล้านบาท										
32	Paragraph	38	3.14(3)	(๓) สำหรับการจัดซื้อจัดจ้างครั้งหนึ่งที่มีวงเงินเกิน ๕๐๐,๐๐๐ บาทขึ้นไป กรณีผู้ยื่นข้อเสนอเป็นบุคคลธรรมดา โดยพิจารณาจากหนังสือรับรองบัญชีเงินฝากไม่เกิน ๙๐ วันก่อนวันยื่นข้อเสนอ โดยต้องมีเงินฝากคงเหลือในบัญชีธนาคารเป็นมูลค่า ๑ ใน ๔ ของมูลค่างบประมาณของโครงการหรือรายการที่ยื่นข้อเสนอในแต่ละครั้ง และหากเป็นผู้ชนะการจัดซื้อจัดจ้างหรือเป็นผู้ได้รับการคัดเลือกจะต้องแสดงหนังสือรับรองบัญชีเงินฝากที่มีมูลค่าดังกล่าวอีกครั้งหนึ่งในวันลงนามในสัญญา										
33	Paragraph	39	3.14(4)	(๔) กรณีที่ผู้ยื่นข้อเสนอไม่มีมูลค่าสุทธิของกิจการหรือทุนจดทะเบียน หรือมีแต่ไม่เพียงพอที่จะเข้ายื่นข้อเสนอ ผู้ยื่นข้อเสนอสามารถขอวงเงินสินเชื่อ โดยต้องมีวงเงินสินเชื่อ ๑ ใน ๔ ของมูลค่างบประมาณของโครงการหรือรายการที่ยื่นข้อเสนอในแต่ละครั้ง (สินเชื่อที่ธนาคารภายในประเทศ หรือบริษัทเงินทุนหรือบริษัทเงินทุนหลักทรัพย์ที่ได้รับอนุญาตให้ประกอบกิจการเงินทุนเพื่อการพาณิชย์ และประกอบธุรกิจค้าประกันตามประกาศของธนาคารแห่งประเทศไทย ตามรายชื่อบริษัทเงินทุนที่ธนาคารแห่งประเทศไทยแจ้งเวียนให้ทราบ โดยพิจารณาจากยอดเงินรวมของวงเงินสินเชื่อที่สำนักงานใหญ่รับรองหรือที่สำนักงานสาขารับรอง (กรณีได้รับมอบอำนาจจากสำนักงานใหญ่) ซึ่งออกให้แก่ผู้ยื่นข้อเสนอ นับถึงวันยื่นข้อเสนอไม่เกิน ๙๐ วัน)										
34	Paragraph	40	3.14(5)	(๕) กรณีตาม (๑) - (๔) ยกเว้นสำหรับกรณีดังต่อไปนี้										
35	Paragraph	41		(๕.๑) กรณีที่ผู้ยื่นข้อเสนอเป็นหน่วยงานของรัฐ										
36	Paragraph	42		(๕.๒) นิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทยที่อยู่ระหว่างการฟื้นฟูกิจการตามพระราชบัญญัติล้มละลาย (ฉบับที่ ๑๐) พ.ศ. ๒๕๖๑										
37	Paragraph	44	4	4. รายละเอียดคุณลักษณะเฉพาะ										
38	Paragraph	45	4.1	4.1 Software ระบบ ERP ที่มีลิขสิทธิ์การใช้งานถูกต้องให้สามารถใช้งานได้อย่างมีประสิทธิภาพ										
39	Paragraph	46	4.1.1	4.1.1 สามารถปรับแต่งระบบให้สอดคล้องกับกฎหมาย ข้อบังคับ ระเบียบที่เกี่ยวข้อง และแนวปฏิบัติงานของหน่วยงาน รวมทั้งสามารถปรับแต่งระบบให้มีความสอดคล้องกับกระบวนงานที่ สกมช. ได้ออกแบบและพัฒนาต้นแบบไว้ โดยประกอบด้วยระบบงานย่อยอย่างน้อย ดังนี้										
40	Paragraph	47	4.1.1.1	4.1.1.1 ระบบบริการพนักงาน (Employee Self Service System)	Employee Self Service	ระบบบริการพนักงานสำหรับคำขอ/อนุมัติ/ติดตามสถานะ	มีบางส่วน	มี Employee/Expense Claim/Workflow/Notification และสร้าง DocType สำหรับคำขอได้	ต้องออกแบบคำขอเฉพาะราชการ เช่น ของบประมาณ ขออนุมัติดำเนินงาน ยืม/ส่งใช้เงินทดรอง ขอเบิกวัสดุ และ e-Signature	Medium	P1	M-L	https://docs.frappe.io/erpnext/v13/user/videos/learn/expense-claim; https://docs.frappe.io/erpnext/workflows	
41	Paragraph	48	4.1.1.2	4.1.1.2 ระบบงบประมาณ (Budgeting System)	Budgeting	ระบบงบประมาณ วางแผน ควบคุม ติดตามเบิกจ่าย	มีบางส่วน	มี Budget/Cost Center/Project และรายงานงบประมาณ	ต้อง custom โครงสร้างยุทธศาสตร์ แหล่งเงิน ปีงบประมาณ version งบประมาณ แผนจัดซื้อ และรายงานตามราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
42	Paragraph	49	4.1.1.3	4.1.1.3 ระบบบัญชีเจ้าหนี้ (Account Payable System)	Account Payable	บัญชีเจ้าหนี้และการจ่ายเงิน	มี	มี Supplier, Purchase Invoice, Payment Entry, AP aging/report, tax accounting	ต้องปรับ VAT/WHT ไทย, e-Payment bank format, เอกสารราชการ และ petty cash/advance flow	Medium	P1	M	https://docs.frappe.io/erpnext/accounts-receivable-and-payable; https://docs.frappe.io/erpnext/purchase-invoice	
43	Paragraph	50	4.1.1.4	4.1.1.4 ระบบบัญชีลูกหนี้ (Account Receivable System)	Account Receivable	บัญชีลูกหนี้และการรับเงิน	มี	มี Customer, Sales Invoice, Payment Entry, AR aging/report, tax accounting	ต้องเพิ่ม e-Tax/e-Receipt integration, หลักประกันไม่ใช่ตัวเงิน, รายงานเฉพาะราชการ	Medium	P1	M	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
44	Paragraph	51	4.1.1.5	4.1.1.5 ระบบธนาคาร (Banking System)	Banking	เช็ค ธนาคาร กระทบยอด e-payment	มีบางส่วน	มี Bank Account, Payment Entry, bank reconciliation/payment reconciliation	ต้องทำทะเบียนเช็ค/เล่มเช็คตามหน่วยงาน และ export e-payment ตาม bank format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
45	Paragraph	52	4.1.1.6	4.1.1.6 ระบบจัดซื้อจัดจ้าง (Purchase Order System)	Purchase Order / Procurement	ระบบจัดซื้อจัดจ้าง	มีบางส่วน	มี Buying flow: Material Request/RFQ/Supplier Quotation/PO/Receipt/Invoice	งานจัดซื้อจัดจ้างภาครัฐ เช่น e-GP, TOR, committee, contract, สขร.1 ต้อง custom มาก	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
46	Paragraph	53	4.1.1.7	4.1.1.7 ระบบบริหารวัสดุ (Inventory Control System)	Inventory Control	ระบบบริหารวัสดุ/คลัง	มี	มี Item, Warehouse, Stock Entry, Stock Transfer, Stock Reconciliation, stock reports	ต้องปรับเอกสารเบิกวัสดุ/อนุมัติ/รายงานรูปแบบราชการ	Low-Medium	P2	M	https://docs.frappe.io/erpnext/stock-transactions	
47	Paragraph	54	4.1.1.8	4.1.1.8 ระบบทรัพย์สิน (Fixed Asset System)	Fixed Asset	ทรัพย์สิน/ครุภัณฑ์/ค่าเสื่อม	มีบางส่วน	มี Asset, acquisition, depreciation, disposal และรายงาน asset	ต้องเพิ่มรหัสสำนักงบประมาณ, ต่ำกว่าเกณฑ์, QR/mobile count, history ตามราชการ	Medium-High	P1	L	https://docs.frappe.io/erpnext/asset	
48	Paragraph	55	4.1.1.9	4.1.1.9 ระบบบัญชีแยกประเภท (General Ledger System)	General Ledger	บัญชีแยกประเภท GL	มี	มี Chart of Accounts, Journal Entry, General Ledger, Trial Balance, Balance Sheet/P&L	ต้องทำผังบัญชี/รายงานราชการ และ integration/export GFMIS	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/journal-entry; https://docs.frappe.io/erpnext/accounting-reports	
49	Paragraph	56	4.1.1.10	4.1.1.10 ระบบการรายงานสำหรับผู้บริหาร (Dashboard)	Dashboard	Dashboard ผู้บริหาร realtime web/mobile	มีบางส่วน	มี Dashboard/Workspace/Report และข้อมูลจาก ERP เดียวกัน	ต้องออกแบบ KPI ภาครัฐ งบประมาณ บัญชี การเงิน พัสดุ และ mobile view	Medium	P2	M	https://docs.frappe.io/erpnext/introduction	
50	Paragraph	57	4.1.2	4.1.2 ติดตั้งและพัฒนาระบบ ERP ของหน่วยงาน พร้อมทั้งทดสอบการทำงานของระบบ และปรับแต่งการทำงานและเงื่อนไขต่าง ๆ ให้เป็นไปตามกระบวนการงานปฏิบัติงานที่ออกแบบไว้ รวมถึงการเชื่อมโยงกับระบบงานอื่นของที่เกี่ยวข้อง เพื่อให้สามารถใช้งานระบบได้อย่างมีประสิทธิภาพ	Implementation	ติดตั้ง/พัฒนา/ทดสอบ/ปรับแต่ง/เชื่อมโยงระบบอื่น	ต้องทำเพิ่ม	Frappe รองรับ custom app, API, hooks, integration	ต้องเป็นงาน implementation project โดยทีมผู้ติดตั้ง ไม่ใช่ฟีเจอร์สำเร็จรูปอย่างเดียว	Medium	P1	L	https://docs.frappe.io/framework/user/en/api/rest	
51	Paragraph	58	4.1.3	4.1.3 ทำการทดสอบการใช้งานระบบ ERP โดยผู้ใช้งานจริง (User Acceptance Test)	UAT	ทดสอบโดยผู้ใช้งานจริง UAT	ต้องทำเพิ่ม	รองรับ environment/test process ได้	ต้องวาง UAT script, sign-off, issue tracking	Low	P1	M		
52	Paragraph	59	4.1.4	4.1.4 จัดอบรมการใช้งานระบบ ERP (Training) ให้กับเจ้าหน้าที่ของหน่วยงาน	Training	อบรมผู้ใช้งาน	ต้องทำเพิ่ม	มีคู่มือ online เป็นฐาน	ต้องจัดอบรมตาม role ภาษาไทย และคู่มือเฉพาะระบบ	Low	P1	M		
53	Paragraph	60	4.1.5	4.1.5 ตรวจทานข้อมูลพื้นฐาน (Master File) และข้อมูลยอดยกมา (Opening Balance) ก่อนนำข้อมูลดังกล่าวเข้าระบบ ERP	Data Migration	ตรวจ master/opening balance ก่อนนำเข้า	ต้องทำเพิ่ม	มี Data Import และ opening tools ใน ERPNext	ต้อง map Phoenix data, cleanse, trial migration, reconcile	High	P1	L		
54	Paragraph	61	4.1.6	4.1.6 ดำเนินการขึ้นระบบ ERP (Go live) และจะต้องจัดให้มีทีมสนับสนุน สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน เป็นระยะเวลาไม่น้อยกว่า ๑ เดือน	Go Live Support	Go-live และ support อย่างน้อย 1 เดือน	ต้องทำเพิ่ม	เป็น scope บริการ	ต้องจัดทีม onsite/remote และ SLA	Medium	P1	M		
55	Paragraph	62	4.1.7	4.1.7 จะต้องมีทีมสนับสนุน (Help Desk) สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน โดยให้คำปรึกษาผ่านทางโทรศัพท์ E-mail หรือการ Remote	Help Desk	Help Desk โทรศัพท์/E-mail/Remote	ต้องทำเพิ่ม	เป็น scope บริการ	ต้องกำหนด SLA, channel, ticket log	Medium	P1	M		
56	Paragraph	64	4.2	4.2 คุณลักษณะทั่วไปของระบบ ERP จะต้องมีคุณลักษณะทั่วไปของระบบอย่างน้อยดังนี้										
57	Paragraph	65	4.2.1	4.2.1 ระบบสามารถรองรับการทำงานได้พร้อมกัน (Concurrent multi-users)	General	รองรับ concurrent multi-users	มี	Web-based ERP ใช้งานหลายผู้ใช้พร้อมกันได้	ต้อง sizing server/database สำหรับ 125 users	Medium	P1	M	https://docs.frappe.io/erpnext/introduction	
58	Paragraph	66	4.2.2	4.2.2 ระบบสามารถกำหนดบทบาทและกำหนดสิทธิ์การใช้งานได้	Security	กำหนดบทบาทและสิทธิ์การใช้งาน	มี	มี User/Role/Permission	ต้องออกแบบ role matrix ตามหน่วยงาน	Low	P1	M	https://docs.frappe.io/erpnext/adding-users	
59	Paragraph	67	4.2.3	4.2.3 ระบบจะต้องรองรับการทำงานร่วมกับระบบจัดการฐานข้อมูลแบบเชิงสัมพันธ์ (Relational Database Model) และทุกระบบงานต้องเชื่อมโยง (Integrated) ถึงกันโดยใช้ระบบฐานข้อมูลกลางร่วมกัน	Architecture	ใช้ relational database และฐานข้อมูลกลาง integrated	มี	Frappe/ERPNext ใช้ database กลางและเอกสารเชื่อมกัน	ต้องออกแบบ integration/migration ให้ครบ	Medium	P1	M	https://docs.frappe.io/erpnext/introduction	
60	Paragraph	68	4.2.4	4.2.4 ระบบมีการจัดเก็บบันทึกกิจกรรม (Log) ต่าง ๆ ที่เกิดขึ้นในระบบ เพื่อใช้ในการตรวจสอบได้ เมื่อต้องการ	Audit	จัดเก็บ log/audit เพื่อตรวจสอบ	มีบางส่วน	มี document version/history และ activity ตามเอกสาร	ต้องกำหนด audit retention/report ตาม TOR และ policy หน่วยงาน	Medium	P1	M		
61	Paragraph	69	4.2.5	4.2.5 ระบบรองรับการใช้งานภาษาไทย และรองรับการบันทึกข้อมูล ค้นหาข้อมูล	Localization	ภาษาไทย บันทึกและค้นหาข้อมูลไทย	มีบางส่วน	รองรับ Unicode/translation/custom labels	ต้องแปลเมนู/เอกสาร/รายงาน และทดสอบ search ภาษาไทย	Medium	P1	M		
62	Paragraph	70	4.2.6	4.2.6 รองรับการแสดงผลบนอุปกรณ์ที่มีความหลากหลาย สำหรับกลุ่มโปรแกรมที่ใช้ในการอนุมัติงานเอกสารในระบบโดยผู้บริหาร และโปรแกรมที่เป็นลักษณะการบันทึกเพื่อขอบริการต่าง ๆ ของหน่วยงาน	Responsive	รองรับหลายอุปกรณ์สำหรับ approval/request	มีบางส่วน	Web UI ใช้งานผ่าน browser และมี responsive บางส่วน	ต้องทดสอบ mobile workflow และปรับ form ที่ใช้จริง	Medium	P2	M		
63	Paragraph	71	4.2.7	4.2.7 ระบบสามารถส่งคำขออนุมัติต่าง ๆ ให้ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนงานผ่านระบบ Workflow และแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องผ่านหน้าจอของระบบ โดยสามารถแสดงให้เห็นเมื่อผู้ใช้งานที่เกี่ยวข้องทำการ Login เข้าระบบแล้ว และมีการแจ้งเตือน (Notification)	Workflow/Notification	ส่งคำขออนุมัติผ่าน workflow และ notification	มี	มี Workflow, Workflow Action, Notification	ต้อง configure approval matrix และ notification template	Low-Medium	P1	M	https://docs.frappe.io/erpnext/workflows; https://docs.frappe.io/erpnext/notifications	
64	Paragraph	72	4.2.8	4.2.8 ระบบสามารถส่งออก (Export) รายงานในรูปแบบของไฟล์อิเล็กทรอนิกส์ ได้แก่ PDF, Excel, Word ได้เป็นอย่างน้อย	Export	Export รายงาน PDF/Excel/Word	มีบางส่วน	ERPNext รองรับ print/PDF และ export Excel/CSV เป็นหลัก	Word export อาจต้อง custom template/export	Medium	P2	M		
65	Paragraph	73	4.2.9	4.2.9 ระบบงานต่าง ๆ ที่เป็นกระบวนการทำงาน (Business Process) ที่ต่อเนื่องกันสามารถเชื่อมโยงการทำงานและการแลกเปลี่ยนข้อมูลของแต่ละระบบ ระหว่างกันได้ บนระบบฐานข้อมูลกลางร่วมกัน	Integration	Business process เชื่อมโยงกันด้วยฐานข้อมูลกลาง	มี	เอกสารเชื่อมต่อกัน เช่น PO -> Receipt -> Invoice -> Payment -> GL	ต้อง fit-gap flow ราชการและ custom links	Medium	P1	M	https://docs.frappe.io/erpnext/v13/user/videos/learn/purchase-cycle; https://docs.frappe.io/erpnext/general-ledger	
66	Paragraph	74	4.2.10	4.2.10 ระบบรองรับการอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	e-Signature	อนุมัติและรองรับ e-Signature ตามกฎหมายไทย	มีบางส่วน	มี workflow/approval และสามารถแนบ/เชื่อมบริการภายนอกได้	ต้อง integrate e-sign provider/PKI และออกแบบหลักฐานตาม พ.ร.บ. ธุรกรรมฯ	High	P1	L		
