เลขข้อ TOR	เนื้อหา TOR	ตำแหน่งย่อหน้าในไฟล์
3.8	ไม่เป็นผู้มีผลประโยชน์ร่วมกันกับผู้ยื่นข้อเสนอรายอื่นที่เข้ายื่นข้อเสนอให้แก่ สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ ณ วันยื่นข้อเสนอ หรือไม่เป็นผู้กระทำการ อันเป็นการขัดขวางการแข่งขันอย่างเป็นธรรมในการยื่นข้อเสนอครั้งนี้	22
3.9	ไม่เป็นผู้ได้รับเอกสิทธิ์หรือความคุ้มกัน ซึ่งอาจปฏิเสธไม่ยอมขึ้นศาลไทย เว้นแต่รัฐบาลของผู้ยื่นข้อเสนอได้มีคำสั่งให้สละเอกสิทธิ์และความคุ้มกันเช่นว่านั้น	23
3.10	"ผู้ยื่นข้อเสนอที่ยื่นข้อเสนอในรูปแบบของ ""กิจการร่วมค้า"" ต้องมีคุณสมบัติดังนี้"	24
3.11	ผู้ยื่นข้อเสนอต้องลงทะเบียนที่มีข้อมูลถูกต้องครบถ้วนในระบบจัดซื้อจัดจ้างภาครัฐด้วยอิเล็กทรอนิกส์ (Electronic Government Procurement: e-GP) ของกรมบัญชีกลาง	30
3.12	สินค้าหรือบริการที่นำเสนอจะต้องได้รับการรับรองมาตรฐานด้านดิจิทัลตามที่สำนักงานส่งเสริมเศรษฐกิจดิจิทัลกำหนด	31
3.13	สินค้าหรือบริการที่นำเสนอจะต้องขึ้นบัญชีบริการดิจิทัลของสำนักงานส่งเสริมเศรษฐกิจดิจิทัล เป็นพัสดุที่รัฐต้องส่งเสริมหรือสนับสนุน	32
3.14	ผู้ยื่นข้อเสนอต้องมีมูลค่าสุทธิของกิจการ ดังนี้	35
3.14(1)	กรณีผู้ยื่นข้อเสนอเป็นนิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทยซึ่งได้จดทะเบียนเกินกว่า ๑ ปี ต้องมีมูลค่าสุทธิของกิจการ จากผลต่างระหว่างสินทรัพย์สุทธิหักด้วยหนี้สินสุทธิ ที่ปรากฏในงบแสดงฐานะการเงินที่มีการตรวจรับรองแล้ว ซึ่งจะต้องแสดงค่าเป็นบวก ๑ ปีสุดท้ายก่อนวันยื่นข้อเสนอ	36
3.14(2)	กรณีผู้ยื่นข้อเสนอเป็นนิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทย ซึ่งยังไม่มีการรายงานงบแสดงฐานะการเงินกับกรมพัฒนาธุรกิจการค้า ให้พิจารณาการกำหนดมูลค่าของทุนจดทะเบียน โดยผู้ยื่นข้อเสนอจะต้องมีทุนจดทะเบียนที่เรียกชำระมูลค่าหุ้นแล้ว ณ วันที่ยื่นข้อเสนอ ไม่ต่ำกว่า ๑ ล้านบาท	37
3.14(3)	สำหรับการจัดซื้อจัดจ้างครั้งหนึ่งที่มีวงเงินเกิน ๕๐๐,๐๐๐ บาทขึ้นไป กรณีผู้ยื่นข้อเสนอเป็นบุคคลธรรมดา โดยพิจารณาจากหนังสือรับรองบัญชีเงินฝากไม่เกิน ๙๐ วันก่อนวันยื่นข้อเสนอ โดยต้องมีเงินฝากคงเหลือในบัญชีธนาคารเป็นมูลค่า ๑ ใน ๔ ของมูลค่างบประมาณของโครงการหรือรายการที่ยื่นข้อเสนอในแต่ละครั้ง และหากเป็นผู้ชนะการจัดซื้อจัดจ้างหรือเป็นผู้ได้รับการคัดเลือกจะต้องแสดงหนังสือรับรองบัญชีเงินฝากที่มีมูลค่าดังกล่าวอีกครั้งหนึ่งในวันลงนามในสัญญา	38
3.14(4)	กรณีที่ผู้ยื่นข้อเสนอไม่มีมูลค่าสุทธิของกิจการหรือทุนจดทะเบียน หรือมีแต่ไม่เพียงพอที่จะเข้ายื่นข้อเสนอ ผู้ยื่นข้อเสนอสามารถขอวงเงินสินเชื่อ โดยต้องมีวงเงินสินเชื่อ ๑ ใน ๔ ของมูลค่างบประมาณของโครงการหรือรายการที่ยื่นข้อเสนอในแต่ละครั้ง (สินเชื่อที่ธนาคารภายในประเทศ หรือบริษัทเงินทุนหรือบริษัทเงินทุนหลักทรัพย์ที่ได้รับอนุญาตให้ประกอบกิจการเงินทุนเพื่อการพาณิชย์ และประกอบธุรกิจค้าประกันตามประกาศของธนาคารแห่งประเทศไทย ตามรายชื่อบริษัทเงินทุนที่ธนาคารแห่งประเทศไทยแจ้งเวียนให้ทราบ โดยพิจารณาจากยอดเงินรวมของวงเงินสินเชื่อที่สำนักงานใหญ่รับรองหรือที่สำนักงานสาขารับรอง (กรณีได้รับมอบอำนาจจากสำนักงานใหญ่) ซึ่งออกให้แก่ผู้ยื่นข้อเสนอ นับถึงวันยื่นข้อเสนอไม่เกิน ๙๐ วัน)	39
3.14(5)	กรณีตาม (๑) - (๔) ยกเว้นสำหรับกรณีดังต่อไปนี้	40
3.14(5.1)	กรณีที่ผู้ยื่นข้อเสนอเป็นหน่วยงานของรัฐ	41
3.14(5.2)	นิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทยที่อยู่ระหว่างการฟื้นฟูกิจการตามพระราชบัญญัติล้มละลาย (ฉบับที่ ๑๐) พ.ศ. ๒๕๖๑	42
4	รายละเอียดคุณลักษณะเฉพาะ	44
4.1	Software ระบบ ERP ที่มีลิขสิทธิ์การใช้งานถูกต้องให้สามารถใช้งานได้อย่างมีประสิทธิภาพ	45
4.1.1	สามารถปรับแต่งระบบให้สอดคล้องกับกฎหมาย ข้อบังคับ ระเบียบที่เกี่ยวข้อง และแนวปฏิบัติงานของหน่วยงาน รวมทั้งสามารถปรับแต่งระบบให้มีความสอดคล้องกับกระบวนงานที่ สกมช. ได้ออกแบบและพัฒนาต้นแบบไว้ โดยประกอบด้วยระบบงานย่อยอย่างน้อย ดังนี้	46
4.1.1.1	ระบบบริการพนักงาน (Employee Self Service System)	47
4.1.1.2	ระบบงบประมาณ (Budgeting System)	48
4.1.1.3	ระบบบัญชีเจ้าหนี้ (Account Payable System)	49
4.1.1.4	ระบบบัญชีลูกหนี้ (Account Receivable System)	50
4.1.1.5	ระบบธนาคาร (Banking System)	51
4.1.1.6	ระบบจัดซื้อจัดจ้าง (Purchase Order System)	52
4.1.1.7	ระบบบริหารวัสดุ (Inventory Control System)	53
4.1.1.8	ระบบทรัพย์สิน (Fixed Asset System)	54
4.1.1.9	ระบบบัญชีแยกประเภท (General Ledger System)	55
4.1.1.10	ระบบการรายงานสำหรับผู้บริหาร (Dashboard)	56
4.1.2	ติดตั้งและพัฒนาระบบ ERP ของหน่วยงาน พร้อมทั้งทดสอบการทำงานของระบบ และปรับแต่งการทำงานและเงื่อนไขต่าง ๆ ให้เป็นไปตามกระบวนการงานปฏิบัติงานที่ออกแบบไว้ รวมถึงการเชื่อมโยงกับระบบงานอื่นของที่เกี่ยวข้อง เพื่อให้สามารถใช้งานระบบได้อย่างมีประสิทธิภาพ	57
4.1.3	ทำการทดสอบการใช้งานระบบ ERP โดยผู้ใช้งานจริง (User Acceptance Test)	58
4.1.4	จัดอบรมการใช้งานระบบ ERP (Training) ให้กับเจ้าหน้าที่ของหน่วยงาน	59
4.1.5	ตรวจทานข้อมูลพื้นฐาน (Master File) และข้อมูลยอดยกมา (Opening Balance) ก่อนนำข้อมูลดังกล่าวเข้าระบบ ERP	60
4.1.6	ดำเนินการขึ้นระบบ ERP (Go live) และจะต้องจัดให้มีทีมสนับสนุน สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน เป็นระยะเวลาไม่น้อยกว่า ๑ เดือน	61
4.1.7	จะต้องมีทีมสนับสนุน (Help Desk) สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน โดยให้คำปรึกษาผ่านทางโทรศัพท์ E-mail หรือการ Remote	62
4.2	คุณลักษณะทั่วไปของระบบ ERP จะต้องมีคุณลักษณะทั่วไปของระบบอย่างน้อยดังนี้	64
4.2.1	ระบบสามารถรองรับการทำงานได้พร้อมกัน (Concurrent multi-users)	65
4.2.2	ระบบสามารถกำหนดบทบาทและกำหนดสิทธิ์การใช้งานได้	66
4.2.3	ระบบจะต้องรองรับการทำงานร่วมกับระบบจัดการฐานข้อมูลแบบเชิงสัมพันธ์ (Relational Database Model) และทุกระบบงานต้องเชื่อมโยง (Integrated) ถึงกันโดยใช้ระบบฐานข้อมูลกลางร่วมกัน	67
4.2.4	ระบบมีการจัดเก็บบันทึกกิจกรรม (Log) ต่าง ๆ ที่เกิดขึ้นในระบบ เพื่อใช้ในการตรวจสอบได้ เมื่อต้องการ	68
4.2.5	ระบบรองรับการใช้งานภาษาไทย และรองรับการบันทึกข้อมูล ค้นหาข้อมูล	69
4.2.6	รองรับการแสดงผลบนอุปกรณ์ที่มีความหลากหลาย สำหรับกลุ่มโปรแกรมที่ใช้ในการอนุมัติงานเอกสารในระบบโดยผู้บริหาร และโปรแกรมที่เป็นลักษณะการบันทึกเพื่อขอบริการต่าง ๆ ของหน่วยงาน	70
4.2.7	ระบบสามารถส่งคำขออนุมัติต่าง ๆ ให้ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนงานผ่านระบบ Workflow และแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องผ่านหน้าจอของระบบ โดยสามารถแสดงให้เห็นเมื่อผู้ใช้งานที่เกี่ยวข้องทำการ Login เข้าระบบแล้ว และมีการแจ้งเตือน (Notification)	71
4.2.8	ระบบสามารถส่งออก (Export) รายงานในรูปแบบของไฟล์อิเล็กทรอนิกส์ ได้แก่ PDF, Excel, Word ได้เป็นอย่างน้อย	72
4.2.9	ระบบงานต่าง ๆ ที่เป็นกระบวนการทำงาน (Business Process) ที่ต่อเนื่องกันสามารถเชื่อมโยงการทำงานและการแลกเปลี่ยนข้อมูลของแต่ละระบบ ระหว่างกันได้ บนระบบฐานข้อมูลกลางร่วมกัน	73
4.2.10	ระบบรองรับการอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	74
4.3	คุณลักษณะเฉพาะและความสามารถของระบบต่าง ๆ ที่เกี่ยวข้องระบบ ERP แต่ละระบบงานจะต้องมีความสามารถของระบบอย่างน้อย ดังนี้	76
4.3.1	ระบบบริการพนักงาน (Employee Self Service System) เป็นที่ช่วยสนับสนุนการทำงานของผู้ใช้งานในการจัดทำคำขอต่าง ๆ โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	77
4.3.1(1)	สามารถบันทึกคำของบประมาณ ขออนุมัติดำเนินงาน ขอเบิกเงิน ขอยืมเงินทดรองจ่าย ส่งใช้เงินยืมทดรองจ่าย แจ้งความประสงค์ และขอเบิกวัสดุได้	78
4.3.1(2)	สามารถติดตามสถานะคำขอได้แบบ Real time และสามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	79
4.3.1(3)	สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	80
4.3.1(4)	สามารถอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	81
4.3.2	ระบบงบประมาณ (Budgeting System) เป็นระบบที่ใช้วางแผน ควบคุมการเบิกจ่ายเงินงบประมาณของหน่วยงาน โดยมีกระบวนการตั้งแต่การจัดทำคำของบประมาณ ปรับโอนงบประมาณ ติดตามผลการเบิกจ่ายเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	82
4.3.2(1)	สามารถกำหนดแหล่งเงินได้ และยุทธศาสตร์ได้	83
4.3.2(2)	สามารถกำหนดยุทธศาสตร์ได้ทุกประเภท และไม่จำกัดลำดับชั้น	84
4.3.2(3)	สามารถกำหนดรูปแบบและรอบระยะเวลาของปีงบประมาณ	85
4.3.2(4)	สามารถกำหนดโครงสร้างของประเภทรายจ่าย และการถัวจ่ายงบประมาณ	86
4.3.2(5)	สามารถจัดทำผังยุทธศาสตร์ประจำปี และบันทึกรายการจัดทำคำของบประมาณ	87
4.3.2(6)	สามารถจัดเก็บคำของบประมาณได้หลาย Version	88
4.3.2(7)	สามารถจัดเก็บข้อมูลและเรียกดูข้อมูลงบประมาณรายจ่าย และงบประมาณประจำปี ที่ได้รับจัดสรรของหน่วยงานในแต่ละปี โดยแยกตาม โครงการ/กิจกรรม/แหล่งเงิน/ประเภทรายจ่าย และในมิติต่าง ๆ ตามที่กำหนด	89
4.3.2(8)	สามารถบันทึกรายการปรับโอน เพิ่ม ลด งบประมาณ	90
4.3.2(9)	สามารถบันทึกแผนการใช้จ่ายเงินได้	91
4.3.2(10)	สามารถบันทึกแผนและรายงานผลการเบิกจ่ายเงินของโครงการและกิจกรรมได้	92
4.3.2(11)	สามารถบันทึกแผนจัดซื้อจัดจ้างตั้งแต่ขั้นตอนการจัดทำคำของบประมาณได้	93
4.3.2(12)	แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานคำของบประมาณ รายงานงบประมาณคงเหลือ ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	94
4.3.2(13)	สามารถเรียกดูทะเบียนงบประมาณ ณ วันที่ใดวันที่หนึ่ง หรือตามเงื่อนไขที่กำหนดได้ เช่น โครงการ กิจกรรม ปีงบประมาณ แหล่งเงิน เป็นต้น	95
4.3.3	ระบบบัญชีเจ้าหนี้ (Account Payable System) เป็นระบบสำหรับจัดการบริหารบัญชีเจ้าหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	96
4.3.3(1)	สามารถกำหนดรหัสเจ้าหนี้ รหัสค่าใช้จ่าย และวิธีการชำระเงินได้	97
4.3.3(2)	กำหนดรอบระยะเวลาการเงิน ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาการเงินได้	98
4.3.3(3)	สามารถกำหนดรหัสสำหรับเอกสารการจ่ายเงินได้	99
4.3.3(4)	มีการอนุมัติเมื่อมีการสร้างข้อมูลเจ้าหนี้ ก่อนจึงสามารถนำรหัสเจ้าหนี้ไปใช้ในการบันทึกรายการในหน้าจออื่น ๆ ได้	100
4.3.3(5)	เจ้าหนี้หนึ่งราย สามารถบันทึกบัญชีเจ้าหนี้ได้หลายประเภท	101
4.3.3(6)	สามารถบันทึกรายการขอเบิกเงิน ขอยืมเงินทดรองจ่าย และรายการส่งใช้เงินยืมทดรองจ่าย	102
4.3.3(7)	คำขอเบิก 1 รายการ สามารถเบิกจ่ายให้กับผู้รับเงินหลายคนได้	103
4.3.3(8)	สามารถบันทึกรายการตั้งหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	104
4.3.3(9)	สามารถบันทึกรายการจ่ายเงินต่าง ๆ ได้ และสามารถเลือกวิธีการจ่ายชำระเงิน โดย เงินสด เช็ค โอนบัญชีธนาคาร และ e-Payment	105
4.3.3(10)	สามารถบันทึกรายงานภาษีซื้อ และรายการนำส่งภาษีมูลค่าเพิ่ม	106
4.3.3(11)	สามารถบันทึกรายการนำส่งภาษีหัก ณ ที่จ่าย	107
4.3.3(12)	สามารถส่งออกข้อมูลไฟล์ ภาษีหัก ณ ที่จ่าย และภาษีมูลค่าเพิ่ม ในรูปแบบที่สามารถนำส่งภาษีออนไลน์ให้กับกรมสรรพากรได้	108
4.3.3(13)	สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	109
4.3.3(14)	สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	110
4.3.3(15)	แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวเจ้าหนี้ รายงานเจ้าหนี้คงค้าง ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	111
4.3.4	ระบบบัญชีลูกหนี้ (Account Receivable System) เป็นระบบสำหรับจัดการบริหารบัญชีลูกหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	113
4.3.4(1)	สามารถกำหนดรหัสลูกหนี้ รหัสรายได้ และวิธีการรับชำระเงินได้	114
4.3.4(2)	ลูกหนี้หนึ่งราย สามารถบันทึกบัญชีลูกหนี้ได้หลายประเภท	115
4.3.4(3)	สามารถกำหนดรหัสสำหรับเอกสารการรับเงินได้	116
4.3.4(4)	สามารถบันทึกรายการรับเงินต่าง ๆ ได้ และสามารถเลือกวิธีการรับชำระเงินโดย เงินสด เช็ค โอนบัญชีธนาคาร และบัตรเครดิต	117
4.3.4(5)	สามารถบันทึกรับหลักประกันที่ไม่ใช่ตัวเงินได้ เช่น หนังสือค้ำประกัน พันธบัตรรัฐบาล	118
4.3.4(6)	สามารถบันทึกรายงานภาษีขายได้	119
4.3.4(7)	สามารถบันทึกรายการตั้งลูกหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	120
4.3.4(8)	สามารถออก e-Tax Invoice และ e-Receipt หรือรองรับการเชื่อมต่อผู้ให้บริการ e-Tax Invoice และ e-Receipt ที่ได้รับการรับรองกับกรมสรรพากรได้	121
4.3.4(9)	แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวลูกหนี้ รายงานลูกหนี้คงค้าง รายงานวิเคราะห์อายุลูกหนี้ รายงานการรับชำระเงิน ทะเบียนคุมลูกหนี้เงินยืมทดรองจ่าย ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	122
4.3.5	ระบบธนาคาร (Banking System) เป็นระบบงานที่ใช้กำหนดรูปแบบเช็ค และพิสูจน์ยอดเงินฝากธนาคาร โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	123
4.3.5(1)	สามารถกำหนดเล่มเช็ค เลขที่เช็ค และชื่อบริการ e-payment ได้	124
4.3.5(2)	สามารถกำหนดรหัสสมุดบัญชีเงินฝากธนาคารแยกตามประเภทเงินฝาก	125
4.3.5(3)	สามารถบริหารจัดการเช็ค และการนำฝากธนาคาร	126
4.3.5(4)	สามารถตรวจสอบยอดเงินฝากธนาคาร	127
4.3.5(5)	สามารถส่งออกข้อมูลไฟล์ e-payment ในรูปแบบที่ทางธนาคารของหน่วยงานกำหนด	128
4.3.5(6)	แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น ทะเบียนเช็ค รายงานกระทบยอดเงินฝากธนาคาร ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	129
4.3.6	ระบบจัดซื้อจัดจ้าง (Purchase Order System) เป็นระบบที่ทำหน้าที่เกี่ยวกับการจัดซื้อ จัดจ้างของหน่วยงานโดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	130
4.3.6(1)	สามารถกำหนดรอบระยะเวลาพัสดุ ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาพัสดุได้	131
4.3.6(2)	สามารถกำหนดแผนการจัดซื้อจัดจ้างประจำปีได้ โดยให้มีรายละเอียดอย่างน้อยประกอบด้วย (ก) ชื่อโครงการที่จะจัดซื้อจัดจ้าง (ข) วงเงินที่จะจัดซื้อจัดจ้างโดยประมาณ (ค) ระยะเวลาที่คาดว่าจะจัดซื้อจัดจ้าง (ง) รายการอื่น ๆ	132
4.3.6(3)	สามารถอนุมัติแผนจัดซื้อจัดจ้างผ่านระบบได้ และส่งออกข้อมูลแผนจัดซื้อจัดจ้างในรูปแบบ Excel ตามรูปแบบที่กรมบัญชีกลางกำหนด เพื่อนำเข้าระบบ e-GP ได้	133
4.3.6(4)	สามารถบันทึกรายงานผลการจัดทำ TOR และขออนุมัติ TOR ได้	134
4.3.6(5)	สามารถกำหนดวิธีการจัดหาให้เป็นไปตามพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 และกฎหมายลำดับรองที่เกี่ยวข้อง ได้	135
4.3.6(6)	สามารถบันทึกรายการขอซื้อขอจ้าง และสามารถอ้างอิงแผนจัดซื้อจัดจ้างได้	136
4.3.6(7)	สามารถบันทึกข้อมูลการเสนอราคาของผู้เสนอราคาแต่ละราย และสามารถบันทึกข้อมูล ผู้ชนะการเสนอราคาได้ และสามารถแนบไฟล์เอกสารการเสนอราคาได้ รวมทั้งรายงานผลการจัดซื้อจัดจ้าง เพื่ออนุมัติดำเนินการซื้อจ้างต่อไป	137
4.3.6(8)	สามารถบันทึกรายการจัดซื้อจัดจ้างแบบซื้อวัสดุ ซื้อทรัพย์สินที่เป็นครุภัณฑ์ หรือซื้อ/จ้าง ที่เป็นค่าใช้จ่ายได้	138
4.3.6(9)	สามารถบันทึกข้อมูลเพื่อแต่งตั้งคณะกรรมการจัดซื้อจัดจ้างและคณะกรรมการตรวจรับ ได้ทั้งที่เป็นบุคลากรภายในและบุคคลภายนอก	139
4.3.6(10)	มีระบบการแจ้งเตือนคณะกรรมการร่าง TOR และกำหนดราคากลาง คณะกรรมการจัดซื้อจัดจ้าง และคณะกรรมตรวจรับผ่านทาง e-mail ได้	140
4.3.6(11)	คณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้างทั้งหมดสามารถอนุมัติรายการผ่านระบบได้	141
4.3.6(12)	สามารถบันทึกข้อมูลการเปลี่ยนแปลงคณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้าง และส่งอนุมัติรายการผ่านระบบได้	142
4.3.6(13)	สามารถบันทึกรายการสั่งซื้อสั่งจ้างได้ ในกรณีที่มีการแบ่งงวดสามารถบันทึกงวด การส่งมอบงานและการจ่ายเงินได้ และสามารถแสดงข้อมูลการรับหลักประกันต่าง ๆ ได้ รวมทั้งสามารถแนบไฟล์เอกสารอื่น ๆ ที่เกี่ยวข้องได้	143
4.3.6(14)	สามารถปิดใบสั่งซื้อสั่งจ้างในกรณีที่ต้องการยกเลิกใบสั่งซื้อสั่งจ้างได้	144
4.3.6(15)	สามารถบันทึกรายการตรวจรับสินค้า/บริการ ได้ โดยสามารถแบ่งการตรวจรับ ตามจำนวนหน่วย จำนวนราคา หรือตามงวด และสามารถบันทึกค่าปรับในขั้นตอนการตรวจรับ	145
4.3.6(16)	สามารถบันทึกรับและเบิกคืนเงินประกันสัญญา และเงินประกันผลงานได้	146
4.3.6(17)	สามารถบันทึกรับและคืนหลักประกันสัญญาที่เป็นหนังสือค้ำประกัน และพันธบัตรรัฐบาลได้	147
4.3.6(18)	สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	148
4.3.6(19)	สามารถแจ้งเตือนไปยังผู้ขาย/ผู้ขาย ล่วงหน้า เพื่อแจ้งเตือนการส่งมอบงานตามใบสั่งซื้อสั่งจ้าง/สัญญา	149
4.3.6(20)	สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	150
4.3.6(21)	มีเมนูสำหรับการบริหารสัญญา ซึ่งสามารถกำหนดเงื่อนไขการแสดงข้อมูลได้ เช่น เลขที่สัญญา ชื่อสัญญา ปีงบประมาณ วิธีการจัดหา เป็นต้น	151
4.3.6(22)	สามารถบันทึกข้อมูลการแก้ไขสัญญาผ่านระบบได้	152
4.3.6(23)	สามารถจัดทำรายงานสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้โดยอัตโนมัติ รวมทั้งสามารถบันทึกขออนุมัติประกาศสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้	153
4.3.6(24)	สามารถจัดทำรายละเอียดแนบท้ายประกาศผลผู้ชนะการจัดซื้อจัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้ รวมทั้งขออนุมัติประกาศผลผู้ชนะการจัดซื้อ จัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้	154
4.3.6(25)	สามารถจัดทำรายงานการจัดซื้อจัดจ้างที่ผูกพันข้ามปีและขออนุมัติกันเงินเหลื่อมปีได้	155
4.3.6(26)	แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการจัดซื้อ/จ้าง ทะเบียนคุมหลักประกัน/เงินประกัน ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	156
