ลำดับ	เลขข้อ TOR	หัวข้อ/ข้อความจาก TOR	ตำแหน่งย่อหน้าในไฟล์
25	3.14(5.1)	(๕.๑) กรณีที่ผู้ยื่นข้อเสนอเป็นหน่วยงานของรัฐ	41
26	3.14(5.2)	(๕.๒) นิติบุคคลที่จัดตั้งขึ้นตามกฎหมายไทยที่อยู่ระหว่างการฟื้นฟูกิจการตามพระราชบัญญัติล้มละลาย (ฉบับที่ ๑๐) พ.ศ. ๒๕๖๑	42
27	4	4. รายละเอียดคุณลักษณะเฉพาะ	44
28	4.1	4.1 Software ระบบ ERP ที่มีลิขสิทธิ์การใช้งานถูกต้องให้สามารถใช้งานได้อย่างมีประสิทธิภาพ	45
29	4.1.1	4.1.1 สามารถปรับแต่งระบบให้สอดคล้องกับกฎหมาย ข้อบังคับ ระเบียบที่เกี่ยวข้อง และแนวปฏิบัติงานของหน่วยงาน รวมทั้งสามารถปรับแต่งระบบให้มีความสอดคล้องกับกระบวนงานที่ สกมช. ได้ออกแบบและพัฒนาต้นแบบไว้ โดยประกอบด้วยระบบงานย่อยอย่างน้อย ดังนี้	46
30	4.1.1.1	4.1.1.1 ระบบบริการพนักงาน (Employee Self Service System)	47
31	4.1.1.2	4.1.1.2 ระบบงบประมาณ (Budgeting System)	48
32	4.1.1.3	4.1.1.3 ระบบบัญชีเจ้าหนี้ (Account Payable System)	49
33	4.1.1.4	4.1.1.4 ระบบบัญชีลูกหนี้ (Account Receivable System)	50
34	4.1.1.5	4.1.1.5 ระบบธนาคาร (Banking System)	51
35	4.1.1.6	4.1.1.6 ระบบจัดซื้อจัดจ้าง (Purchase Order System)	52
36	4.1.1.7	4.1.1.7 ระบบบริหารวัสดุ (Inventory Control System)	53
37	4.1.1.8	4.1.1.8 ระบบทรัพย์สิน (Fixed Asset System)	54
38	4.1.1.9	4.1.1.9 ระบบบัญชีแยกประเภท (General Ledger System)	55
39	4.1.1.10	4.1.1.10 ระบบการรายงานสำหรับผู้บริหาร (Dashboard)	56
40	4.1.2	4.1.2 ติดตั้งและพัฒนาระบบ ERP ของหน่วยงาน พร้อมทั้งทดสอบการทำงานของระบบ และปรับแต่งการทำงานและเงื่อนไขต่าง ๆ ให้เป็นไปตามกระบวนการงานปฏิบัติงานที่ออกแบบไว้ รวมถึงการเชื่อมโยงกับระบบงานอื่นของที่เกี่ยวข้อง เพื่อให้สามารถใช้งานระบบได้อย่างมีประสิทธิภาพ	57
41	4.1.3	4.1.3 ทำการทดสอบการใช้งานระบบ ERP โดยผู้ใช้งานจริง (User Acceptance Test)	58
42	4.1.4	4.1.4 จัดอบรมการใช้งานระบบ ERP (Training) ให้กับเจ้าหน้าที่ของหน่วยงาน	59
43	4.1.5	4.1.5 ตรวจทานข้อมูลพื้นฐาน (Master File) และข้อมูลยอดยกมา (Opening Balance) ก่อนนำข้อมูลดังกล่าวเข้าระบบ ERP	60
44	4.1.6	4.1.6 ดำเนินการขึ้นระบบ ERP (Go live) และจะต้องจัดให้มีทีมสนับสนุน สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน เป็นระยะเวลาไม่น้อยกว่า ๑ เดือน	61
45	4.1.7	4.1.7 จะต้องมีทีมสนับสนุน (Help Desk) สำหรับให้คำปรึกษา แนะนำ ในการใช้งานระบบ ERP แก่เจ้าหน้าที่ของหน่วยงาน โดยให้คำปรึกษาผ่านทางโทรศัพท์ E-mail หรือการ Remote	62
46	4.2	4.2 คุณลักษณะทั่วไปของระบบ ERP จะต้องมีคุณลักษณะทั่วไปของระบบอย่างน้อยดังนี้	64
47	4.2.1	4.2.1 ระบบสามารถรองรับการทำงานได้พร้อมกัน (Concurrent multi-users)	65
48	4.2.2	4.2.2 ระบบสามารถกำหนดบทบาทและกำหนดสิทธิ์การใช้งานได้	66
49	4.2.3	4.2.3 ระบบจะต้องรองรับการทำงานร่วมกับระบบจัดการฐานข้อมูลแบบเชิงสัมพันธ์ (Relational Database Model) และทุกระบบงานต้องเชื่อมโยง (Integrated) ถึงกันโดยใช้ระบบฐานข้อมูลกลางร่วมกัน	67
50	4.2.4	4.2.4 ระบบมีการจัดเก็บบันทึกกิจกรรม (Log) ต่าง ๆ ที่เกิดขึ้นในระบบ เพื่อใช้ในการตรวจสอบได้ เมื่อต้องการ	68
51	4.2.5	4.2.5 ระบบรองรับการใช้งานภาษาไทย และรองรับการบันทึกข้อมูล ค้นหาข้อมูล	69
52	4.2.6	4.2.6 รองรับการแสดงผลบนอุปกรณ์ที่มีความหลากหลาย สำหรับกลุ่มโปรแกรมที่ใช้ในการอนุมัติงานเอกสารในระบบโดยผู้บริหาร และโปรแกรมที่เป็นลักษณะการบันทึกเพื่อขอบริการต่าง ๆ ของหน่วยงาน	70
53	4.2.7	4.2.7 ระบบสามารถส่งคำขออนุมัติต่าง ๆ ให้ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนงานผ่านระบบ Workflow และแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องผ่านหน้าจอของระบบ โดยสามารถแสดงให้เห็นเมื่อผู้ใช้งานที่เกี่ยวข้องทำการ Login เข้าระบบแล้ว และมีการแจ้งเตือน (Notification)	71
54	4.2.8	4.2.8 ระบบสามารถส่งออก (Export) รายงานในรูปแบบของไฟล์อิเล็กทรอนิกส์ ได้แก่ PDF, Excel, Word ได้เป็นอย่างน้อย	72
55	4.2.9	4.2.9 ระบบงานต่าง ๆ ที่เป็นกระบวนการทำงาน (Business Process) ที่ต่อเนื่องกันสามารถเชื่อมโยงการทำงานและการแลกเปลี่ยนข้อมูลของแต่ละระบบ ระหว่างกันได้ บนระบบฐานข้อมูลกลางร่วมกัน	73
56	4.2.10	4.2.10 ระบบรองรับการอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	74
57	4.3	4.3 คุณลักษณะเฉพาะและความสามารถของระบบต่าง ๆ ที่เกี่ยวข้องระบบ ERP แต่ละระบบงานจะต้องมีความสามารถของระบบอย่างน้อย ดังนี้	76
58	4.3.1	4.3.1 ระบบบริการพนักงาน (Employee Self Service System) เป็นที่ช่วยสนับสนุนการทำงานของผู้ใช้งานในการจัดทำคำขอต่าง ๆ โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	77
59	4.3.1(1)	(1) สามารถบันทึกคำของบประมาณ ขออนุมัติดำเนินงาน ขอเบิกเงิน ขอยืมเงินทดรองจ่าย ส่งใช้เงินยืมทดรองจ่าย แจ้งความประสงค์ และขอเบิกวัสดุได้	78
60	4.3.1(2)	(2) สามารถติดตามสถานะคำขอได้แบบ Real time และสามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	79
61	4.3.1(3)	(3) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	80
62	4.3.1(4)	(4) สามารถอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	81
63	4.3.2	4.3.2 ระบบงบประมาณ (Budgeting System) เป็นระบบที่ใช้วางแผน ควบคุมการเบิกจ่ายเงินงบประมาณของหน่วยงาน โดยมีกระบวนการตั้งแต่การจัดทำคำของบประมาณ ปรับโอนงบประมาณ ติดตามผลการเบิกจ่ายเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	82
64	4.3.2(1)	(1) สามารถกำหนดแหล่งเงินได้ และยุทธศาสตร์ได้	83
65	4.3.2(2)	(2) สามารถกำหนดยุทธศาสตร์ได้ทุกประเภท และไม่จำกัดลำดับชั้น	84
66	4.3.2(3)	(3) สามารถกำหนดรูปแบบและรอบระยะเวลาของปีงบประมาณ	85
67	4.3.2(4)	(4) สามารถกำหนดโครงสร้างของประเภทรายจ่าย และการถัวจ่ายงบประมาณ	86
68	4.3.2(5)	(5) สามารถจัดทำผังยุทธศาสตร์ประจำปี และบันทึกรายการจัดทำคำของบประมาณ	87
69	4.3.2(6)	(6) สามารถจัดเก็บคำของบประมาณได้หลาย Version	88
70	4.3.2(7)	(7) สามารถจัดเก็บข้อมูลและเรียกดูข้อมูลงบประมาณรายจ่าย และงบประมาณประจำปี ที่ได้รับจัดสรรของหน่วยงานในแต่ละปี โดยแยกตาม โครงการ/กิจกรรม/แหล่งเงิน/ประเภทรายจ่าย และในมิติต่าง ๆ ตามที่กำหนด	89
71	4.3.2(8)	(8) สามารถบันทึกรายการปรับโอน เพิ่ม ลด งบประมาณ	90
72	4.3.2(9)	(9) สามารถบันทึกแผนการใช้จ่ายเงินได้	91
73	4.3.2(10)	(10) สามารถบันทึกแผนและรายงานผลการเบิกจ่ายเงินของโครงการและกิจกรรมได้	92
74	4.3.2(11)	(11) สามารถบันทึกแผนจัดซื้อจัดจ้างตั้งแต่ขั้นตอนการจัดทำคำของบประมาณได้	93
75	4.3.2(12)	(12) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานคำของบประมาณ รายงานงบประมาณคงเหลือ ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	94
76	4.3.2(13)	(13) สามารถเรียกดูทะเบียนงบประมาณ ณ วันที่ใดวันที่หนึ่ง หรือตามเงื่อนไขที่กำหนดได้ เช่น โครงการ กิจกรรม ปีงบประมาณ แหล่งเงิน เป็นต้น	95
77	4.3.3	4.3.3 ระบบบัญชีเจ้าหนี้ (Account Payable System) เป็นระบบสำหรับจัดการบริหารบัญชีเจ้าหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	96
78	4.3.3(1)	(1) สามารถกำหนดรหัสเจ้าหนี้ รหัสค่าใช้จ่าย และวิธีการชำระเงินได้	97
79	4.3.3(2)	(2) กำหนดรอบระยะเวลาการเงิน ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาการเงินได้	98
80	4.3.3(3)	(3) สามารถกำหนดรหัสสำหรับเอกสารการจ่ายเงินได้	99
81	4.3.3(4)	(4) มีการอนุมัติเมื่อมีการสร้างข้อมูลเจ้าหนี้ ก่อนจึงสามารถนำรหัสเจ้าหนี้ไปใช้ในการบันทึกรายการในหน้าจออื่น ๆ ได้	100
82	4.3.3(5)	(5) เจ้าหนี้หนึ่งราย สามารถบันทึกบัญชีเจ้าหนี้ได้หลายประเภท	101
83	4.3.3(6)	(6) สามารถบันทึกรายการขอเบิกเงิน ขอยืมเงินทดรองจ่าย และรายการส่งใช้เงินยืมทดรองจ่าย	102
84	4.3.3(7)	(7) คำขอเบิก 1 รายการ สามารถเบิกจ่ายให้กับผู้รับเงินหลายคนได้	103
85	4.3.3(8)	(8) สามารถบันทึกรายการตั้งหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	104
86	4.3.3(9)	(9) สามารถบันทึกรายการจ่ายเงินต่าง ๆ ได้ และสามารถเลือกวิธีการจ่ายชำระเงิน โดย เงินสด เช็ค โอนบัญชีธนาคาร และ e-Payment	105
87	4.3.3(10)	(10) สามารถบันทึกรายงานภาษีซื้อ และรายการนำส่งภาษีมูลค่าเพิ่ม	106
88	4.3.3(11)	(11) สามารถบันทึกรายการนำส่งภาษีหัก ณ ที่จ่าย	107
89	4.3.3(12)	(12) สามารถส่งออกข้อมูลไฟล์ ภาษีหัก ณ ที่จ่าย และภาษีมูลค่าเพิ่ม ในรูปแบบที่สามารถนำส่งภาษีออนไลน์ให้กับกรมสรรพากรได้	108
90	4.3.3(13)	(13) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	109
91	4.3.3(14)	(14) สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	110
92	4.3.3(15)	(15) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวเจ้าหนี้ รายงานเจ้าหนี้คงค้าง ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	111
93	4.3.4	4.3.4 ระบบบัญชีลูกหนี้ (Account Receivable System) เป็นระบบสำหรับจัดการบริหารบัญชีลูกหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	113
94	4.3.4(1)	(1) สามารถกำหนดรหัสลูกหนี้ รหัสรายได้ และวิธีการรับชำระเงินได้	114
95	4.3.4(2)	(2) ลูกหนี้หนึ่งราย สามารถบันทึกบัญชีลูกหนี้ได้หลายประเภท	115
96	4.3.4(3)	(3) สามารถกำหนดรหัสสำหรับเอกสารการรับเงินได้	116
97	4.3.4(4)	(4) สามารถบันทึกรายการรับเงินต่าง ๆ ได้ และสามารถเลือกวิธีการรับชำระเงินโดย เงินสด เช็ค โอนบัญชีธนาคาร และบัตรเครดิต	117
98	4.3.4(5)	(5) สามารถบันทึกรับหลักประกันที่ไม่ใช่ตัวเงินได้ เช่น หนังสือค้ำประกัน พันธบัตรรัฐบาล	118
99	4.3.4(6)	(6) สามารถบันทึกรายงานภาษีขายได้	119
100	4.3.4(7)	(7) สามารถบันทึกรายการตั้งลูกหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	120
101	4.3.4(8)	(8) สามารถออก e-Tax Invoice และ e-Receipt หรือรองรับการเชื่อมต่อผู้ให้บริการ e-Tax Invoice และ e-Receipt ที่ได้รับการรับรองกับกรมสรรพากรได้	121
102	4.3.4(9)	(9) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวลูกหนี้ รายงานลูกหนี้คงค้าง รายงานวิเคราะห์อายุลูกหนี้ รายงานการรับชำระเงิน ทะเบียนคุมลูกหนี้เงินยืมทดรองจ่าย ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	122
103	4.3.5	4.3.5 ระบบธนาคาร (Banking System) เป็นระบบงานที่ใช้กำหนดรูปแบบเช็ค และพิสูจน์ยอดเงินฝากธนาคาร โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	123
104	4.3.5(1)	(1) สามารถกำหนดเล่มเช็ค เลขที่เช็ค และชื่อบริการ e-payment ได้	124
105	4.3.5(2)	(2) สามารถกำหนดรหัสสมุดบัญชีเงินฝากธนาคารแยกตามประเภทเงินฝาก	125
106	4.3.5(3)	(3) สามารถบริหารจัดการเช็ค และการนำฝากธนาคาร	126
107	4.3.5(4)	(4) สามารถตรวจสอบยอดเงินฝากธนาคาร	127
108	4.3.5(5)	(5) สามารถส่งออกข้อมูลไฟล์ e-payment ในรูปแบบที่ทางธนาคารของหน่วยงานกำหนด	128
109	4.3.5(6)	(6) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น ทะเบียนเช็ค รายงานกระทบยอดเงินฝากธนาคาร ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	129
110	4.3.6	4.3.6 ระบบจัดซื้อจัดจ้าง (Purchase Order System) เป็นระบบที่ทำหน้าที่เกี่ยวกับการจัดซื้อ จัดจ้างของหน่วยงานโดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	130
111	4.3.6(1)	(1) สามารถกำหนดรอบระยะเวลาพัสดุ ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาพัสดุได้	131
112	4.3.6(2)	(2) สามารถกำหนดแผนการจัดซื้อจัดจ้างประจำปีได้ โดยให้มีรายละเอียดอย่างน้อยประกอบด้วย (ก) ชื่อโครงการที่จะจัดซื้อจัดจ้าง (ข) วงเงินที่จะจัดซื้อจัดจ้างโดยประมาณ (ค) ระยะเวลาที่คาดว่าจะจัดซื้อจัดจ้าง (ง) รายการอื่น ๆ	132
113	4.3.6(3)	(3) สามารถอนุมัติแผนจัดซื้อจัดจ้างผ่านระบบได้ และส่งออกข้อมูลแผนจัดซื้อจัดจ้างในรูปแบบ Excel ตามรูปแบบที่กรมบัญชีกลางกำหนด เพื่อนำเข้าระบบ e-GP ได้	133
114	4.3.6(4)	(4) สามารถบันทึกรายงานผลการจัดทำ TOR และขออนุมัติ TOR ได้	134
115	4.3.6(5)	(5) สามารถกำหนดวิธีการจัดหาให้เป็นไปตามพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 และกฎหมายลำดับรองที่เกี่ยวข้อง ได้	135
116	4.3.6(6)	(6) สามารถบันทึกรายการขอซื้อขอจ้าง และสามารถอ้างอิงแผนจัดซื้อจัดจ้างได้	136
117	4.3.6(7)	(7) สามารถบันทึกข้อมูลการเสนอราคาของผู้เสนอราคาแต่ละราย และสามารถบันทึกข้อมูล ผู้ชนะการเสนอราคาได้ และสามารถแนบไฟล์เอกสารการเสนอราคาได้ รวมทั้งรายงานผลการจัดซื้อจัดจ้าง เพื่ออนุมัติดำเนินการซื้อจ้างต่อไป	137
118	4.3.6(8)	(8) สามารถบันทึกรายการจัดซื้อจัดจ้างแบบซื้อวัสดุ ซื้อทรัพย์สินที่เป็นครุภัณฑ์ หรือซื้อ/จ้าง ที่เป็นค่าใช้จ่ายได้	138
119	4.3.6(9)	(9) สามารถบันทึกข้อมูลเพื่อแต่งตั้งคณะกรรมการจัดซื้อจัดจ้างและคณะกรรมการตรวจรับ ได้ทั้งที่เป็นบุคลากรภายในและบุคคลภายนอก	139
120	4.3.6(10)	(๑0) มีระบบการแจ้งเตือนคณะกรรมการร่าง TOR และกำหนดราคากลาง คณะกรรมการจัดซื้อจัดจ้าง และคณะกรรมตรวจรับผ่านทาง e-mail ได้	140
121	4.3.6(11)	(๑1) คณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้างทั้งหมดสามารถอนุมัติรายการผ่านระบบได้	141
122	4.3.6(12)	(๑2) สามารถบันทึกข้อมูลการเปลี่ยนแปลงคณะกรรมการที่เกี่ยวข้องกับการจัดซื้อจัดจ้าง และส่งอนุมัติรายการผ่านระบบได้	142
123	4.3.6(13)	(๑3) สามารถบันทึกรายการสั่งซื้อสั่งจ้างได้ ในกรณีที่มีการแบ่งงวดสามารถบันทึกงวด การส่งมอบงานและการจ่ายเงินได้ และสามารถแสดงข้อมูลการรับหลักประกันต่าง ๆ ได้ รวมทั้งสามารถแนบไฟล์เอกสารอื่น ๆ ที่เกี่ยวข้องได้	143
124	4.3.6(14)	(๑4) สามารถปิดใบสั่งซื้อสั่งจ้างในกรณีที่ต้องการยกเลิกใบสั่งซื้อสั่งจ้างได้	144
125	4.3.6(15)	(15) สามารถบันทึกรายการตรวจรับสินค้า/บริการ ได้ โดยสามารถแบ่งการตรวจรับ ตามจำนวนหน่วย จำนวนราคา หรือตามงวด และสามารถบันทึกค่าปรับในขั้นตอนการตรวจรับ	145
126	4.3.6(16)	(16) สามารถบันทึกรับและเบิกคืนเงินประกันสัญญา และเงินประกันผลงานได้	146
127	4.3.6(17)	(17) สามารถบันทึกรับและคืนหลักประกันสัญญาที่เป็นหนังสือค้ำประกัน และพันธบัตรรัฐบาลได้	147
128	4.3.6(18)	(18) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	148
129	4.3.6(19)	(19) สามารถแจ้งเตือนไปยังผู้ขาย/ผู้ขาย ล่วงหน้า เพื่อแจ้งเตือนการส่งมอบงานตามใบสั่งซื้อสั่งจ้าง/สัญญา	149
130	4.3.6(20)	(๒0) สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	150
